MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,price
8.3252,41.0,6.9841,1.0238,322.0,2.5556,37.88,-122.23,452600
8.3014,21.0,6.2381,0.9719,2401.0,2.1098,37.86,-122.22,358500
7.2574,52.0,8.2881,1.0734,496.0,2.8023,37.85,-122.24,352100
5.6431,52.0,5.8174,1.0731,558.0,2.5479,37.85,-122.25,341300
3.8462,52.0,6.2819,1.0811,565.0,2.1815,37.85,-122.25,342200
4.0368,52.0,4.7617,1.1036,413.0,2.1399,37.85,-122.25,269700
3.6591,52.0,4.9319,0.9514,1094.0,2.1284,37.84,-122.25,299200
3.12,52.0,4.7975,1.0618,1157.0,1.7883,37.84,-122.25,241400
2.0804,42.0,4.2941,1.1176,1206.0,2.0269,37.84,-122.26,226700
3.6912,52.0,4.9706,0.9902,1551.0,2.1723,37.84,-122.25,261100
3.2031,52.0,5.4776,1.0796,910.0,2.2637,37.85,-122.26,281500
3.2705,52.0,4.7725,1.0245,1504.0,2.049,37.85,-122.26,241800
3.075,52.0,5.3226,1.0128,1098.0,2.3462,37.85,-122.26,213500
2.6736,52.0,4.0,1.0977,345.0,1.9828,37.84,-122.26,191300
1.9167,52.0,4.2629,1.0097,1212.0,1.9548,37.85,-122.26,159200
2.125,50.0,4.2424,1.072,697.0,2.6402,37.85,-122.26,140000
2.775,52.0,5.9396,1.0483,793.0,2.3958,37.85,-122.27,152500
2.1202,52.0,4.0528,0.967,648.0,2.1386,37.85,-122.27,155500
1.9911,50.0,5.3437,1.0859,990.0,2.3628,37.84,-122.26,158700
2.6033,52.0,5.4655,1.0836,690.0,2.5091,37.84,-122.27,162900
1.3578,40.0,4.5241,1.1084,409.0,2.4639,37.85,-122.27,147500
1.7135,42.0,4.4781,1.0027,929.0,2.5383,37.85,-122.27,159800
1.725,52.0,5.0962,1.1318,1015.0,2.1234,37.84,-122.27,113900
2.1806,52.0,5.1938,1.0369,853.0,2.6246,37.84,-122.27,99700
2.6,52.0,5.2701,1.0355,1006.0,2.3839,37.84,-122.27,132600
2.4038,41.0,4.4958,1.0336,317.0,2.6639,37.85,-122.28,107500
2.4597,49.0,4.728,1.0209,607.0,2.5397,37.85,-122.28,93800
1.808,52.0,4.7809,1.0605,1102.0,2.7758,37.85,-122.28,105500
1.6424,50.0,4.4017,1.0402,1131.0,2.3911,37.84,-122.28,108900
1.6875,52.0,4.7032,1.0323,395.0,2.5484,37.84,-122.28,132000
1.9274,49.0,5.0688,1.1825,863.0,2.2831,37.84,-122.28,122300
1.9615,52.0,4.8821,1.0907,1168.0,2.6485,37.84,-122.28,115200
1.7969,48.0,5.7373,1.2209,1026.0,3.0627,37.84,-122.27,110400
1.375,49.0,5.0304,1.1125,754.0,2.2918,37.83,-122.27,104900
2.7303,51.0,4.972,1.0709,1258.0,2.347,37.83,-122.27,109700
1.4861,49.0,4.6023,1.0682,570.0,2.1591,37.83,-122.27,97200
1.0972,48.0,4.8075,1.1551,987.0,2.639,37.83,-122.27,104500
1.4103,52.0,3.7494,0.9677,901.0,2.2357,37.83,-122.28,103900
3.48,52.0,4.7573,1.068,689.0,2.2298,37.83,-122.26,191400
2.5898,52.0,3.4943,1.0273,1377.0,1.9784,37.83,-122.26,176000
2.0978,52.0,4.2152,1.0608,946.0,2.3949,37.83,-122.26,155400
1.2852,51.0,3.759,1.249,517.0,2.0763,37.83,-122.26,150000
1.025,49.0,3.7725,1.0688,462.0,2.4444,37.84,-122.26,118800
3.9643,52.0,4.798,1.0202,467.0,2.3586,37.84,-122.26,188800
3.0125,52.0,4.9418,1.0651,660.0,2.2603,37.83,-122.26,184400
2.6768,52.0,4.3351,1.0995,718.0,1.8796,37.83,-122.26,182300
2.026,50.0,3.7007,1.0592,616.0,2.0263,37.83,-122.26,142500
1.7348,43.0,3.9802,1.2332,558.0,2.2055,37.82,-122.27,137500
0.9506,40.0,3.9,1.2188,423.0,2.6438,37.82,-122.26,187500
